category,token,light,dark
color/content,primary,{Color/zinc/900},{Color/base/white}
color/content,secondary,{Color/zinc/700},{Color/zinc/100}
color/content,tertiary,{Color/zinc/600},{Color/zinc/200}
color/content,subtle,{Color/zinc/200},{Color/zinc/600}
color/content,info,{Color/blue/600},{Color/blue/500}
color/content,warning,{Color/amber/500},{Color/amber/400}
color/content,success,{Color/green/600},{Color/green/500}
color/content,danger,{Color/red/600},{Color/red/500}
color/content,info-bold,{Color/blue/800},{Color/blue/300}
color/content,warning-bold,{Color/amber/600},{Color/amber/300}
color/content,success-bold,{Color/green/800},{Color/green/200}
color/content,danger-bold,{Color/red/800},{Color/red/600}
color/content,disabled,{Color/zinc/500},{Color/zinc/300}
color/content/interactive,primary,{color/brand/primary/600},{color/brand/primary/400}
color/content/interactive,primary-hovered,{color/brand/primary/700},{color/brand/primary/300}
color/content/interactive,primary-pressed,{color/brand/primary/800},{color/brand/primary/200}
color/content/interactive,secondary,{color/brand/secondary/600},{color/brand/secondary/300}
color/content/interactive,secondary-hovered,{color/brand/secondary/700},{color/brand/secondary/200}
color/content/interactive,secondary-pressed,{color/brand/secondary/800},{color/brand/secondary/100}
color/content/interactive,selected,{color/brand/primary/600},{color/brand/primary/400}
color/content/interactive,visited,{Color/indigo/600},{Color/indigo/500}
color/content/interactive,inverse,{Color/base/white},{color/zinc/900}
color/bg,primary,{Color/base/white},{Color/zinc/900}
color/bg,secondary,{Color/zinc/50},{Color/zinc/800}
color/bg,tertiary,{Color/zinc/100},{Color/zinc/700}
color/bg,info-subtle,{Color/blue/50},{Color/blue/800}
color/bg,info-bold,{Color/blue/700},{Color/blue/400}
color/bg,warning-subtle,{Color/amber/50},{Color/amber/800}
color/bg,warning-bold,{Color/amber/600},{Color/amber/500}
color/bg,success-subtle,{Color/green/50},{Color/green/800}
color/bg,success-bold,{Color/green/600},{Color/green/300}
color/bg,danger-subtle,{Color/red/50},{Color/red/900}
color/bg,danger-bold,{Color/red/700},{Color/red/400}
color/bg,disabled,{Color/zinc/300},{Color/zinc/500}
color/bg,brand,{color/brand/primary/600},{color/brand/primary/600}
color/bg,inverse-bold,{Color/zinc/700},{Color/zinc/100}
color/bg,inverse-bolder,{Color/zinc/800},{Color/zinc/50}
color/bg/interactive,primary,{color/brand/primary/600},{color/brand/primary/400}
color/bg/interactive,primary-hovered,{color/brand/primary/700},{color/brand/primary/300}
color/bg/interactive,primary-pressed,{color/brand/primary/800},{color/brand/primary/200}
color/bg/interactive,secondary,{color/brand/secondary/50},{color/brand/secondary/900}
color/bg/interactive,secondary-hovered,{color/brand/secondary/200},{color/brand/secondary/800}
color/bg/interactive,secondary-pressed,{color/brand/secondary/300},{color/brand/secondary/700}
color/bg/interactive,selected,{color/brand/primary/50},{color/brand/primary/900}
color/bg/interactive,selected-hovered,{color/brand/primary/100},{color/brand/primary/800}
color/bg/interactive,selected-pressed,{color/brand/primary/200},{color/brand/primary/700}
color/bg/interactive,danger,{Color/red/600},{Color/red/500}
color/bg/interactive,danger-hovered,{Color/red/700},{Color/red/400}
color/bg/interactive,danger-pressed,{Color/red/800},{Color/red/300}
color/border,primary,{Color/zinc/400},{Color/zinc/500}
color/border,secondary,{Color/zinc/200},{Color/zinc/700}
color/border,focusRing,{color/brand/primary/600},{color/brand/primary/600}
color/border,info-subtle,{Color/blue/50},{Color/blue/800}
color/border,info,{Color/blue/600},{Color/blue/500}
color/border,warning-subtle,{Color/amber/50},{Color/amber/800}
color/border,warning,{Color/amber/500},{Color/amber/400}
color/border,success-subtle,{Color/green/50},{Color/green/700}
color/border,success,{Color/green/600},{Color/green/500}
color/border,danger-subtle,{Color/red/50},{Color/red/800}
color/border,danger,{Color/red/600},{Color/red/500}
color/border,disabled,{Color/zinc/400},{Color/zinc/300}
color/border/interactive,primary,{color/brand/primary/600},{color/brand/primary/400}
color/border/interactive,primary-hovered,{color/brand/primary/700},{color/brand/primary/300}
color/border/interactive,primary-pressed,{color/brand/primary/800},{color/brand/primary/200}
color/border/interactive,secondary,{color/brand/secondary/400},{color/brand/secondary/500}
color/border/interactive,secondary-hovered,{color/brand/secondary/500},{color/brand/secondary/400}
color/border/interactive,secondary-pressed,{color/brand/secondary/600},{color/brand/secondary/300}
color/border/interactive,danger,{Color/red/600},{Color/red/500}
color/border/interactive,danger-hovered,{Color/red/700},{Color/red/400}
color/border/interactive,danger-pressed,{Color/red/800},{Color/red/300}
color/media,on-dark,{Color/base/white},{Color/base/white}
color/media,on-light,{Color/zinc/900},{Color/zinc/900}
color/effect/shadow,cast,{Color/transparent/16},{Color/transparent/24}
color/effect/shadow,core,{Color/transparent/12},{Color/transparent/20}
